masked.ip.id,age,gender,ethnicity,hispanic,SubjectId,Captcha1,Captcha2,Consent,UseData,BlackSuspect,RaceCheck,GenderCheck,WeaponCheck,PrintCheck,WhiteSuspect,RaceCheck_w,GenderCheck_w,WeaponCheck_w,PrintCheck_w,Masculine_1,Masculine_2,Masculine_3,Masculine_4,Masculine_5,Feminine_7,Feminine_8,Feminine_9,Feminine_10,SuspectPain_1,SuspectPain_2,SuspectPain_3,SuspectFault_1,SuspectFault_2,SuspectFault_3,OfficerFault_1,OfficerFault_2,OfficerFault_3,BeneSexism_1,BeneSexism_2,BeneSexism_3,BeneSexism_4,BeneSexism_5,HostSexism_1,HostSexism_2,HostSexism_3,HostSexism_4,HostSexism_5,HostSexism_6
1,34,2,2,1,9561,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,91,100,100,100,0,81,76,85,76,0,82,69,54,69,34,20,22,78,4,4,4,4,4,4,3,3,5,5,4
2,80,1,1,1,6889,1,CAP,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,24,2,1,1,5596,1,Cap,1,1,NA,NA,NA,NA,NA,1,1,1,0,1,78,69,76,73,69,6,10,0,0,75,100,49,71,74,73,70,65,65,1,1,1,1,1,1,1,1,1,1,1
4,39,2,1,1,6275,1,Cap,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,100,98,98,96,52,2,3,53,1,0,0,0,93,96,40,97,97,99,6,6,6,6,5,6,1,1,1,1,1
5,36,2,1,1,3056,1,Cap,1,1,NA,NA,NA,NA,NA,1,1,1,1,0,68,50,78,52,56,65,69,68,75,72,69,70,79,77,81,78,71,72,6,5,4,3,3,4,5,4,4,4,4
6,25,2,1,1,3211,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,69,69,69,66,63,33,33,31,38,62,62,66,63,53,51,84,67,63,4,4,4,5,4,1,1,2,1,1,2
7,25,2,4,1,8567,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,52,53,52,52,52,52,56,59,52,52,52,53,52,53,53,52,53,52,4,4,4,3,4,4,4,3,3,4,4
1,34,2,2,1,9427,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,22,30,80,81,75,77,0,35,0,88,77,78,5,18,73,21,66,26,4,4,5,5,3,5,5,4,4,3,3
8,35,2,1,1,2074,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,83,87,84,79,78,2,77,3,69,73,88,72,52,70,61,44,47,28,2,3,5,5,4,3,3,3,3,1,3
9,41,1,1,1,2447,1,CAP,1,1,1,0,0,0,1,NA,NA,NA,NA,NA,73,72,84,89,76,75,82,89,85,85,73,66,87,78,57,79,76,68,5,6,5,5,5,5,6,5,5,5,4
10,25,2,1,1,4823,1,Cap,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,52,52,86,42,33,26,68,32,52,70,97,62,76,76,80,23,15,23,2,1,4,4,3,3,3,4,4,4,4
11,43,2,1,1,3911,1,CAP,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,31,28,51,25,21,28,30,29,36,18,61,47,28,31,20,65,68,79,3,2,2,2,2,2,2,1,1,2,2
7,25,2,4,1,8006,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,52,52,52,53,52,52,52,52,53,52,51,52,52,53,53,52,53,53,4,4,4,3,4,3,4,4,4,4,3
12,31,2,1,1,8279,1,CAP,1,1,1,1,0,0,0,NA,NA,NA,NA,NA,79,77,76,83,80,73,79,72,70,80,78,76,62,65,68,78,74,68,3,3,4,4,3,4,4,4,3,3,2
13,42,1,1,1,8962,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,0,0,0,81,81,71,91,92,72,91,83,83,92,82,84,72,72,87,82,82,73,4,5,5,5,5,5,6,5,6,6,5
1,34,2,2,1,1187,1,CAP,1,0,NA,NA,NA,NA,NA,1,1,1,1,1,78,68,81,0,0,13,77,75,23,71,20,80,17,76,76,86,73,71,2,4,4,4,5,5,5,5,4,5,4
14,24,2,15,2,6147,1,Cap,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,32,37,27,33,40,42,52,45,53,57,64,71,47,44,48,55,58,60,4,4,4,4,4,3,3,2,3,3,3
9,41,1,1,1,1633,1,CAP,1,1,NA,NA,NA,NA,NA,1,1,0,0,1,63,48,70,72,85,66,79,67,80,80,69,68,92,86,85,84,80,82,5,6,5,5,5,5,6,5,5,5,4
15,35,2,1,1,1514,1,Cap,1,1,NA,NA,NA,NA,NA,1,1,1,0,0,98,84,72,79,62,27,84,87,80,82,75,79,81,76,27,90,80,24,2,3,2,6,6,3,3,2,5,5,5
